video_id,majority_sentiment,positive_count,negative_count,neutral_count,total_analyzed
hh9ckxtXcDg,Positive,4,0,3,7
26nSPiPZGo8,Positive,7,4,3,14
B5ZKw5j9oqM,Positive,19,5,4,28
dSTIw36srX0,Positive,9,4,6,19
vMyV_0_w9IQ,Positive,7,2,6,15
JdD_HADxk_o,Positive,12,4,7,23
I7QPwPtW5SE,Positive,77,1,4,82
QUTgtyaTIg0,Positive,7,1,0,8
8Zl1JTwkGsU,Positive,23,1,22,46
PGgvTdoJ7B0,Positive,23,5,8,36
6d5_ieWqP-c,Neutral,7,0,10,17
vJZZEv7gRZU,Neutral,6,4,8,18
Q1JZvS-qDWs,Positive,20,3,9,32
DCuWKDe7ILQ,Positive,9,2,5,16
W9KFoX81Bu8,Positive,9,4,3,16
IEiFM5XPD4k,Positive,16,0,7,23
BkFr4o5A3Js,Negative,5,9,2,16
u_SxaH68_m8,Positive,14,9,3,26
tFpmRu15R1o,Negative,2,3,1,6
8Z7i0duMa3M,Neutral,3,2,5,10
2QXRyGBDFME,Neutral,8,9,20,37
dOvpTGwyk0g,Positive,4,1,0,5
tEh050NGnVM,Positive,21,4,8,33
fgVZm0ysjaU,Neutral,3,1,8,12
T3bgoouudCA,Neutral,5,2,8,15
V3Y8--ZNs5M,Negative,7,11,7,25
zUAvOywcPus,Positive,36,15,17,68
HHNIVozXNwE,Positive,15,6,8,29
CmeyKAaGQBI,Positive,10,4,2,16
up5rK8ptYAY,Positive,8,3,4,15
__Rgaa9ZwZQ,Positive,10,6,6,22
ZltHlKtCZBI,Positive,12,9,12,33
8IEmcmMuKrc,Negative,1,3,3,7
AomsROaQmcE,Neutral,24,24,22,70
R1CmVaB1Zvo,Positive,16,5,9,30
6GvG8DmidI8,Positive,4,1,2,7
AZ7fHpfeRDY,Positive,9,3,2,14
h1W7Azrqdck,Negative,0,1,1,2
jqtWWWhIMas,Positive,48,9,26,83
tubgk9IYFHs,Positive,6,2,4,12
N0Byo3WLtKs,Positive,26,1,4,31
xAj5uM8Gd0A,Positive,12,1,4,17
OXegnhDp2P0,Positive,31,0,3,34
y5H_1UK5uas,Neutral,5,5,2,12
_Udj4cMD7L0,Positive,6,3,2,11
ovAedduvUBI,Positive,6,0,0,6
WmV2IvpppxY,Positive,3,0,2,5
LJ2wH52sGZk,Neutral,3,0,7,10
dAi7nmwjU4Q,Neutral,15,4,16,35
AK9fE-X0Ar0,Positive,13,4,4,21
wSw0_cRDQ0Y,Positive,5,3,2,10
Q9VZtzr25s8,Neutral,2,3,4,9
XiO4vhzgTow,Positive,7,0,1,8
vBr0BMnknek,Positive,5,0,5,10
_1BkTMSQClU,Positive,7,0,6,13
kDAtIQrkEBM,Positive,15,0,2,17
EP4cF5IBuFM,Neutral,41,3,56,100
DcBmEiEaO4M,Positive,18,4,9,31
0Segko57vJQ,Negative,3,6,4,13
uU1WzwzG6Ww,Positive,16,1,8,25
ohK6GCDPvgk,Positive,15,2,11,28
xLLqgvFIfBo,Positive,18,2,10,30
P27pyzfhIzM,Positive,2,0,0,2
ED0-xqCVjJs,Positive,40,23,37,100
lTuEvdrj8_Q,Positive,19,0,6,25
oHNCuioAA98,Positive,2,1,2,5
1QcH09kwtGc,Neutral,25,9,66,100
yKBa5K-Cbeg,Positive,49,14,29,92
JUUxRLxL9_g,Positive,20,4,13,37
KmdcdPNj5Jc,Positive,19,4,8,31
VTKvlsixnL8,Positive,6,0,5,11
cmvfaULA-Vw,Neutral,2,1,5,8
VrZalP1eBPQ,Positive,4,2,4,10
7eXdzd5cI7s,Neutral,0,0,5,5
ICuFZMPuwsc,Neutral,24,18,58,100
8GF1o_h6PXc,Positive,8,1,5,14
hK5JeqjcqGo,Positive,13,0,2,15
GYiQyWat5Wc,Neutral,3,1,8,12
jzkUgIZi4YQ,Positive,15,3,6,24
XySRTdVnquw,Positive,5,1,1,7
_yw6vdLDhIo,Neutral,6,2,22,30
mgsZgbjd0AM,Positive,12,0,0,12
xWeBpDiGIhk,Positive,9,1,3,13
goWazffo4rg,Neutral,9,2,18,29
OX_ZBoLhG5g,Negative,18,21,16,55
SvHpUHqSmQc,Negative,1,6,4,11
zM1y_dwzDSk,Positive,37,28,35,100
N3FxltJdX_w,Positive,14,10,8,32
9VkDZMrz5Cs,Neutral,3,1,4,8
FSNj0HVIK9c,Negative,2,41,6,49
l7Pgxg_HbWo,Negative,0,7,1,8
ISTmOFH9jAY,Neutral,1,3,4,8
7vMZR94DP5o,Positive,10,1,1,12
y49rlnToeCA,Positive,8,2,1,11
BoIobpoTVrE,Neutral,4,2,5,11
HIvv5YI7pjM,Positive,44,28,28,100
NBqRnPCXeEU,Neutral,4,2,5,11
pEYkM3boSos,Positive,48,19,33,100
LImU9k95rOw,Positive,52,12,36,100
lKOTQc3ulPw,Positive,4,1,3,8
X9-7JBOG0XU,Neutral,1,0,8,9
ulWGzWAndY8,Positive,8,2,6,16
mSkreWclI04,Positive,33,13,24,70
kIqXtIIq-6s,Positive,44,31,25,100
eYbAmjWt6zQ,Positive,7,2,2,11
zAhRzB5o1f8,Neutral,15,14,19,48
opIpYhJAL8Q,Positive,7,0,0,7
UYXOr8ZtaTM,Neutral,3,2,7,12
eK0mPTU5g8M,Positive,9,1,3,13
txsL5FuyTMM,Negative,25,44,27,96
pCnKthjoa3o,Neutral,5,11,13,29
GAQ0b5Ru3eQ,Neutral,3,0,5,8
lj_kvG5nJxA,Positive,41,3,18,62
cH_dtBp9LyY,Positive,7,3,4,14
TbcScrTzxM8,Positive,20,2,8,30
PCHHH6fIcSQ,Neutral,4,2,5,11
bs4YGCKRlXc,Neutral,5,5,4,14
cBegIoxi2_Y,Positive,15,1,2,18
Oj2-2NmLpec,Negative,3,4,4,11
gfI-cArJGLk,Positive,20,14,10,44
kEps9lNDgjw,Neutral,4,4,1,9
F3SVNluom_M,Positive,5,2,3,10
Lahkqc1Nxg4,Positive,6,0,1,7
17DtbEJTQp0,Positive,7,3,2,12
JngZ64yTE4o,Positive,11,2,4,17
IKWh2_I58nQ,Neutral,4,2,5,11
1nQT5pK2sIE,Neutral,42,15,43,100
FIYkPHUiCW4,Positive,50,19,31,100
DA6Ir9qKTyw,Neutral,9,5,16,30
LfZY0u0gq34,Neutral,26,20,54,100
RUeXk7xQYqc,Neutral,29,7,64,100
OSlYCy0NHPs,Neutral,1,1,4,6
s3U7cOwhiU8,Positive,20,15,17,52
JhkQvRx6x4c,Neutral,2,2,3,7
ZZUnexAOOw8,Positive,4,1,1,6
SQK7PBBjagA,Positive,17,3,14,34
ADyHwPHercE,Positive,11,0,0,11
9o_szRhCSVM,Positive,5,0,4,9
J1UFJ8WnBnk,Positive,8,1,2,11
6vdwKS0_tMg,Positive,9,2,1,12
DfYC-UG1B4E,Neutral,17,28,30,75
7wFKd1clzJ4,Negative,3,4,2,9
exG7FX3ElM0,Positive,24,2,5,31
BQB3vvFlyzM,Positive,7,1,2,10
4_wRp6pTOic,Positive,1,0,1,2
uQgNk6ER6zo,Positive,8,3,2,13
D4EkP55njL4,Positive,66,14,20,100
EBnLXlvrNng,Positive,30,10,22,62
j6MLpuACZ5s,Negative,17,19,9,45
600-n14YyhA,Positive,8,5,7,20
X-aChBRnMr8,Positive,7,0,4,11
qYIW5g_-vhg,Negative,3,5,5,13
8QtHbnG6R-s,Neutral,1,3,6,10
U1UvpTNkQw4,Negative,1,4,3,8
ibLlBZwgIso,Negative,3,5,2,10
ktO5AABiXfA,Positive,9,7,5,21
toI9b5TY7vE,Neutral,2,1,4,7
v8PJw6GkPa0,Positive,6,0,1,7
LEv6jB0697w,Neutral,15,4,24,43
gJzKraNhd3s,Neutral,11,5,17,33
1cpg9bTasQQ,Neutral,7,5,13,25
v4E1-Tee0tg,Neutral,8,5,16,29
-LO8VJN0CMU,Neutral,3,0,5,8
qdWGNeooJAg,Positive,4,1,4,9
JHsbckq5nQs,Positive,3,2,2,7
WoRP3hXLhec,Positive,3,1,2,6
cFsQFgWynmI,Positive,6,4,1,11
eF9TlRRvFOQ,Positive,5,1,3,9
M1MLtvDxXcw,Positive,4,2,1,7
kSU7pWpIvnM,Neutral,2,2,3,7
bDZ5fI3fYb4,Positive,16,0,3,19
ox4OnQsQH_U,Positive,17,0,9,26
SxGC311Eum4,Negative,1,3,2,6
kkSd2QXpXng,Positive,9,2,0,11
FEOQp-OGAJM,Neutral,2,2,2,6
PdpwLNSt1zA,Neutral,3,1,4,8
rX-U6idJCH8,Neutral,0,1,3,4
BAam9gdQA90,Neutral,1,1,6,8
RkCr7tL3nEQ,Negative,3,7,6,16
eEJA761i4j4,Neutral,3,1,4,8
uTdJoHdLtl8,Negative,1,7,1,9
03ZIhWMkYiY,Neutral,0,0,2,2
Lo4vpuQ53EM,Neutral,8,5,9,22
okVjaZnKOjQ,Positive,4,0,3,7
r6DkQ3kVKjc,Negative,5,9,8,22
PnrQUTYuNzA,Neutral,2,2,4,8
rTZBz714v8k,Neutral,0,0,1,1
zlWcCEBlTO8,Positive,6,1,6,13
5NdCkzVVaZM,Positive,5,1,4,10
Yir97OHD2jU,Neutral,12,12,14,38
vLjgeHJdQe8,Positive,6,0,5,11
_Y2GlMeGN10,Positive,83,0,17,100
2v6j_rKPdbc,Negative,13,66,21,100
Yru7GuN0Www,Negative,16,71,13,100
6YorcRWjnN4,Positive,6,0,2,8
hmFdfGGWhss,Negative,11,19,7,37
-24hAMItcAQ,Negative,30,53,17,100
KfOGKIohcZw,Positive,31,15,15,61
qoHP78kAHcQ,Neutral,2,6,8,16
dOIX00APCoU,Negative,5,12,5,22
js_IQQ3Pj6k,Negative,0,6,3,9
VutVHykZwsA,Positive,14,6,3,23
NifYIEAlB1Q,Positive,11,3,6,20
Z5J2Gc0WIkM,Positive,4,3,1,8
RjSbOLlLWI4,Positive,6,3,0,9
wlcms3y34Gg,Negative,2,4,0,6
JOcQQr76xy4,Positive,24,3,11,38
X8S1z_c-kfE,Positive,6,0,2,8
NlNxC0ZUMqE,Negative,11,12,12,35
zXTtrroIVfY,Negative,8,9,9,26
VCo3AeoWLhs,Negative,3,4,2,9
BfXmhkjMfBs,Negative,3,6,0,9
R8xifZ2Dg9w,Neutral,6,3,8,17
OFAi7g1fzR8,Negative,4,5,3,12
xuHhyUOrDbw,Neutral,3,0,6,9
yRiMMPPNE7o,Positive,6,3,3,12
miL1fOtQfnk,Positive,6,1,4,11
b9WAydQgdTc,Positive,13,0,7,20
uiuq2BKLhgo,Positive,60,12,28,100
RpfHLSrES_k,Positive,61,8,31,100
4BR9j_IzAGc,Positive,3,2,3,8
0A5NnmkQ9p0,Positive,7,1,3,11
qpd75eAG4MI,Positive,4,2,3,9
ZMTjOdJJbbM,Positive,49,8,21,78
-MNYndIWYPM,Positive,6,1,0,7
bCj6dv14N4I,Positive,31,0,2,33
7xnlQRUEQdc,Neutral,3,4,8,15
H0l13Tx01pw,Positive,5,1,3,9
OmjSa7uudt8,Positive,60,21,10,91
0GaWpTpX82M,Neutral,2,1,4,7
fi7Z1K49Xis,Negative,0,4,3,7
_XT1PbPG2qM,Neutral,1,2,5,8
7CxtviBfc-c,Neutral,0,1,2,3
9voGjLvnLdw,Positive,5,0,0,5
iUtzR6l-4LQ,Neutral,1,2,4,7
Pb-dN1ZetJM,Positive,4,0,1,5
_u9tzhH6nEs,Positive,5,1,1,7
RHILDlBRdOM,Positive,76,9,15,100
zFjux2T9c0Q,Positive,64,8,15,87
aOMxUiSzI7I,Positive,46,27,27,100
FFM4o0nzl64,Positive,30,4,7,41
Diz_gjQ0nbY,Positive,36,35,29,100
4kQt-tc8ArI,Positive,8,0,1,9
aXTPxuzNfxc,Neutral,0,2,4,6
cbImGkuNacM,Neutral,6,12,16,34
aDCwsUP2MeE,Neutral,1,3,4,8
THx1ySJ9FKw,Neutral,6,8,11,25
0hNcyi3TwIA,Neutral,20,22,23,65
Z_vEINSydfw,Negative,3,4,1,8
6oisaqweDyU,Positive,10,1,7,18
uBckwd10BLw,Negative,0,5,0,5
R3aP6yFphZk,Positive,13,1,1,15
g4ogVDjEBUU,Positive,7,0,6,13
BkqDy_I7DRA,Neutral,1,1,0,2
0crVXXB_dYc,Positive,2,2,2,6
RDtLH6HlKWA,Negative,1,2,2,5
0q6MKz8Fqdg,Positive,4,3,1,8
jfOjHGlvWYM,Positive,16,1,3,20
lZ7hCwRfOYU,Positive,39,1,1,41
VHn1yt2x9qM,Positive,19,2,7,28
cQB8TLZhd-4,Positive,26,2,6,34
YWhTPZn89Rk,Positive,28,5,7,40
79_LoQFMDik,Positive,18,0,2,20
4arh904HZO8,Positive,19,0,2,21
5jZc5SA95JU,Positive,22,3,3,28
BPrv6qj0pXU,Positive,36,4,7,47
y3k5DQ0phUY,Positive,52,6,14,72
VN-5hj8l4T4,Positive,20,1,3,24
1YvHCoYZitw,Positive,37,10,9,56
emy4IF6idwI,Positive,23,2,5,30
E3pO1h-7VQM,Positive,24,5,5,34
pHyOvdzGSvg,Positive,23,3,7,33
L3B0KswG6WA,Positive,8,7,3,18
Inkl9e-OrD4,Positive,28,1,9,38
_qmvYBNotCA,Positive,3,2,1,6
o6xNgyTx-Gs,Negative,1,5,0,6
pr6LmDewjuY,Positive,7,0,1,8
Nx-cJUWB6zo,Neutral,1,1,9,11
Xb3-wE4I3CU,Positive,4,1,1,6
pC_2F-l8l_A,Positive,62,5,33,100
Ku_63wLhX38,Positive,6,0,0,6
6Dlv1ntPpsI,Positive,6,0,2,8
BzYx6Fw_re4,Positive,12,3,9,24
vVuU7DFl8cc,Neutral,3,0,12,15
JkMEje8UAhA,Positive,8,4,4,16
7hwmiPrFCwI,Positive,12,2,3,17
ybrOwqsvwsU,Neutral,2,4,9,15
dGT-g8zE9Fw,Positive,15,0,0,15
5QyBX1dzGrU,Positive,8,6,2,16
l6X7eBbBLII,Positive,5,4,1,10
6ADLzl-pIgg,Neutral,4,3,11,18
FLQ7GlGaoqM,Positive,8,7,5,20
XsnuFsc_5V8,Positive,55,13,32,100
oqlFCyWv7ik,Neutral,1,1,3,5
6p8WXPA06EI,Positive,20,16,12,48
WX-xfbCAr5U,Positive,11,0,0,11
_5w03AvIszE,Neutral,4,2,12,18
ZjDfVdrtl48,Positive,7,1,3,11
3eBbrn7I_dY,Positive,15,7,9,31
g6LGzt4-7aE,Negative,5,6,5,16
vKt3SRL_5zs,Positive,6,1,3,10
a6BSIFoy6AI,Positive,4,2,1,7
8an81ApNr_0,Negative,2,4,1,7
MTyXnDXIzd0,Neutral,5,1,9,15
uHBuymlrRns,Positive,3,2,1,6
1Ao_dDwvn08,Negative,3,4,0,7
Ufm1xo6IEhM,Positive,35,4,16,55
gzGHIO8e_xY,Positive,43,31,26,100
nCT6VwQbLig,Neutral,4,1,6,11
JbkreMsBTS8,Positive,23,22,15,60
xtlalBdGuFQ,Negative,25,32,27,84
hY5OVu9hi1I,Positive,21,5,12,38
aK0VU6-KmQY,Positive,7,0,3,10
hqifUahia_A,Positive,6,2,1,9
NzNwI4VKYs4,Positive,3,1,3,7
jeF-65eDLc0,Positive,5,2,3,10
jfRDIMyt7Sw,Positive,5,3,1,9
gL_U7tJjQNk,Positive,6,2,1,9
Gx0s2n4e0nE,Negative,3,7,0,10
ldS1eWzyf3A,Positive,5,2,3,10
BQgrfOc_r1k,Neutral,2,2,3,7
0JrmTPlVb-E,Negative,5,5,5,15
cuCEBwID_qo,Neutral,9,3,13,25
cu_A-QGO6Kw,Neutral,3,2,6,11
-ABAB28Z4Hg,Neutral,1,1,6,8
VF5jXrZfuCA,Neutral,24,18,58,100
0lnv3QrpX5A,Positive,3,2,0,5
D6A7pXIRfho,Positive,3,2,3,8
VVRwdwDSdMo,Neutral,5,3,9,17
vNf3KJmLlsI,Neutral,11,4,12,27
YfZfA2tQM1Y,Positive,3,2,3,8
9vHp7SqwlVA,Neutral,3,4,7,14
0yF66ZxGvTs,Neutral,12,13,21,46
4BMnFTp1Omk,Neutral,1,3,5,9
MsVR1iAAQfo,Neutral,15,15,22,52
SABHYSUsxuQ,Neutral,9,9,14,32
ROFH9k-pWlk,Negative,3,5,2,10
tr59ZYxYhtA,Neutral,1,3,6,10
A5R8YmX4IAk,Positive,6,2,6,14
3h571bKkH-U,Neutral,8,1,10,19
hu2oJWPWWFI,Neutral,9,7,21,37
yS10QlwDslw,Positive,14,4,5,23
ZcjYDkC4Rzc,Neutral,3,1,8,12
uaAoxjbNHrY,Neutral,2,1,10,13
lwtrEYhnUdo,Positive,9,1,7,17
kgN3auFczlI,Positive,4,2,1,7
ApPVumSyJ90,Positive,3,0,2,5
QmkzwpFiiS4,Negative,1,3,3,7
A4Fc41USdzs,Neutral,10,2,13,25
qS2FM-q_i9M,Positive,5,1,1,7
wIJRxEjrg1s,Positive,3,2,3,8
SL0FoU3fGQo,Neutral,17,7,30,54
488kSjFE9Vs,Positive,5,0,2,7
Hnp-V6JTEQk,Neutral,16,10,23,49
gBNj5TWAE2M,Positive,18,8,15,41
Bz_rXQ6LsQA,Neutral,14,12,35,61
dYyRaIiJkvI,Neutral,31,30,39,100
TE10NArMkIA,Neutral,30,4,35,69
bAQvSU690hM,Positive,7,4,6,17
AcDWkastXT4,Positive,6,0,2,8
TWLaIfD5AOQ,Positive,7,2,7,16
sdHoRcQV6R0,Neutral,5,4,12,21
MGBUwtVol-c,Positive,7,0,5,12
9m7OoAehM6c,Neutral,6,1,9,16
kjLy1MotanY,Neutral,3,3,7,13
eMpXQWr5Yrk,Neutral,3,1,11,15
G1XXO0qodYo,Positive,5,2,2,9
lGK1_9zk5t4,Neutral,2,1,4,7
sbOl5HbCm8M,Positive,14,9,10,33
QncCMV3JArk,Neutral,3,3,2,8
