video_id,majority_sentiment,positive_count,negative_count,neutral_count,total_analyzed
pgFcuTcAwck,Negative,7,13,7,27
d-0UfpiH-Cg,Neutral,3,1,4,8
v_lpy3mvACA,Neutral,2,0,6,8
QDjY6zg9_l0,Neutral,0,1,6,7
t41NA9DthiE,Negative,4,18,2,24
Y8_tkglNQig,Neutral,4,4,5,13
2gzCW8a74bg,Negative,6,15,13,34
qUv8Q12dXTI,Negative,8,21,4,33
reljOZxnlqo,Negative,9,35,12,56
UF6-9IeGS28,Negative,1,5,3,9
8_LisWFdaKc,Positive,7,4,7,18
oK_7ENg4V1o,Negative,6,9,9,24
3cwyHvNQ7FQ,Positive,10,0,0,10
PTtOzTCr7AU,Positive,25,2,11,38
lUMnLXdjUTM,Positive,3,2,1,6
trAaHChfTgU,Positive,24,2,8,34
rJw20uki-MM,Positive,19,1,1,21
bYvj8bRIpaQ,Positive,12,0,1,13
I7M5bP5JLkM,Positive,11,0,1,12
STgxbIHBEKU,Positive,22,1,7,30
bKMt0JTUiHs,Positive,15,0,1,16
cVGxIYVxS_I,Positive,2,0,2,4
HmJH0zZu0es,Neutral,5,5,6,16
W9EUMfUIJV0,Neutral,0,1,7,8
pRvFySCeHMI,Positive,3,1,3,7
uY4_raMMXO4,Neutral,3,0,5,8
h7y6iE0aB5s,Positive,53,16,31,100
